SO2,CO,O3,NO2,PM10,PM25,기온(°C),강수량(mm),풍속(m/s),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),최저운고(100m ),시정(10m),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C),Year,Month,Day,Hour,풍향(16방위)_20.0,풍향(16방위)_50.0,풍향(16방위)_70.0,풍향(16방위)_90.0,풍향(16방위)_110.0,풍향(16방위)_140.0,풍향(16방위)_160.0,풍향(16방위)_180.0,풍향(16방위)_200.0,풍향(16방위)_230.0,풍향(16방위)_250.0,풍향(16방위)_270.0,풍향(16방위)_280.86302185283785,풍향(16방위)_280.9498875129443,풍향(16방위)_290.0,풍향(16방위)_320.0,풍향(16방위)_340.0,풍향(16방위)_360.0,중하층운량(10분위)_1.0,중하층운량(10분위)_2.0,중하층운량(10분위)_3.0,중하층운량(10분위)_4.0,중하층운량(10분위)_5.0,중하층운량(10분위)_6.0,중하층운량(10분위)_7.0,중하층운량(10분위)_8.0,중하층운량(10분위)_9.0,중하층운량(10분위)_10.0,전운량(10분위)_1.0,전운량(10분위)_2.0,전운량(10분위)_2.753080801596446,전운량(10분위)_3.0,전운량(10분위)_4.0,전운량(10분위)_5.0,전운량(10분위)_6.0,전운량(10분위)_6.024005423589677,전운량(10분위)_7.0,전운량(10분위)_8.0,전운량(10분위)_9.0,전운량(10분위)_10.0
0.003,0.4,0.018,0.023,19.0,9.0,-8.3,0.0,1.3,41.0,1.3,-19.2,1017.1,1028.4,0.0,0.0,0.0,0.0,20.207510448448474,2000.0,-7.8,-1.3,-1.2,0.0,1.2,2021.0,1.0,2.0,8.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0.5,0.015,0.026,21.0,8.0,-7.6,0.0,2.0,39.0,1.4,-19.1,1017.9,1029.1,0.9,0.3,0.0,0.0,26.778341944229723,2000.0,-6.7,-1.4,-1.2,0.0,1.2,2021.0,1.0,2.0,9.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0.4,0.024,0.017,18.0,6.0,-6.0,0.0,2.3,35.0,1.4,-19.0,1018.6,1029.8,1.0,0.88,0.0,0.0,24.378850168955395,2000.0,-3.9,-1.2,-1.2,-0.1,1.2,2021.0,1.0,2.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0.4,0.028,0.013,25.0,12.0,-5.3,0.0,3.2,32.0,1.3,-19.4,1019.0,1030.1,1.0,1.46,0.0,0.0,20.290708234952362,2000.0,-0.7,-0.9,-1.1,-0.1,1.2,2021.0,1.0,2.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0.4,0.027,0.015,22.0,12.0,-3.2,0.0,3.0,33.0,1.6,-17.2,1018.7,1029.8,1.0,1.81,0.0,0.0,18.53876147431093,2000.0,1.2,-0.7,-1.0,-0.1,1.2,2021.0,1.0,2.0,12.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0.4,0.03,0.013,25.0,13.0,-2.3,0.0,2.5,31.0,1.6,-17.1,1018.3,1029.3,1.0,1.95,0.0,0.0,18.124300416384685,2000.0,3.6,-0.4,-0.9,-0.1,1.2,2021.0,1.0,2.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0.4,0.033,0.01,29.0,12.0,-1.5,0.0,4.4,31.0,1.7,-16.4,1018.1,1029.1,1.0,1.87,0.0,0.0,16.880924305486232,2000.0,3.5,-0.3,-0.8,-0.1,1.2,2021.0,1.0,2.0,14.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0.4,0.036,0.008,43.0,18.0,-2.3,0.0,5.2,33.0,1.7,-16.4,1017.9,1028.9,1.0,1.57,0.0,0.0,16.86172557589576,2000.0,1.6,-0.2,-0.7,-0.1,1.2,2021.0,1.0,2.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0.4,0.035,0.009,44.0,16.0,-1.7,0.0,3.4,34.0,1.8,-15.5,1018.2,1029.2,1.0,1.05,0.0,0.0,21.810641796326408,2000.0,-0.3,-0.1,-0.6,-0.1,1.2,2021.0,1.0,2.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0.4,0.032,0.011,48.0,12.0,-2.3,0.0,4.5,35.0,1.8,-15.7,1018.9,1029.9,1.0,0.41,0.0,0.0,24.536814125079772,2000.0,-1.1,-0.1,-0.6,-0.1,1.2,2021.0,1.0,2.0,17.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0.4,0.03,0.013,57.0,17.0,-3.2,0.0,2.7,39.0,1.9,-15.2,1019.5,1030.6,0.1,0.04,0.0,0.0,19.6169114825651,2000.0,-2.3,-0.1,-0.6,-0.1,1.2,2021.0,1.0,2.0,18.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0.5,0.027,0.017,57.0,16.0,-3.8,0.0,2.8,50.0,2.3,-12.7,1020.0,1031.1,0.6824939868203623,0.6267928949097481,0.0,0.0,18.436295736211704,2000.0,-3.0,-0.2,-0.6,-0.1,1.1,2021.0,1.0,2.0,19.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0.5,0.025,0.016,48.0,15.0,-4.2,0.0,2.9,41.0,1.8,-15.5,1020.5,1031.6,0.7042137041084606,0.5581477255258349,0.0,0.0,21.382572881819314,2000.0,-3.8,-0.4,-0.7,-0.1,1.1,2021.0,1.0,2.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0.4,0.027,0.013,55.0,14.0,-5.0,0.0,2.3,39.0,1.6,-16.8,1020.4,1031.6,0.6869605903248432,0.4592929042696525,0.0,0.0,22.4810988212556,2000.0,-4.6,-0.5,-0.8,-0.1,1.1,2021.0,1.0,2.0,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0.4,0.028,0.013,62.0,12.0,-5.5,0.0,2.8,42.0,1.7,-16.4,1020.6,1031.8,0.6682263079141828,0.3302860360618567,0.0,0.0,22.0671351442205,2000.0,-5.4,-0.7,-0.9,-0.1,1.1,2021.0,1.0,2.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0.4,0.029,0.01,65.0,14.0,-6.1,0.0,1.9,45.0,1.7,-16.1,1020.8,1032.0,0.6259074444845405,0.17539419551258817,0.0,0.0,22.837042414998095,2000.0,-6.0,-0.8,-1.0,-0.1,1.1,2021.0,1.0,2.0,23.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0.4,0.031,0.009,65.0,13.0,-6.6,0.0,3.8,45.0,1.7,-16.5,1021.5,1032.7,0.7899394699683979,0.8857684970014432,0.0,0.0,20.28454469097447,2000.0,-6.4,-0.9,-1.0,-0.1,1.1,2021.0,1.0,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0.4,0.029,0.008,66.0,14.0,-7.3,0.0,2.4,48.0,1.7,-16.4,1022.0,1033.3,0.7420131747060177,0.6938667297328962,0.0,0.0,21.742811892351583,2000.0,-6.9,-1.1,-1.1,-0.1,1.1,2021.0,1.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0.4,0.03,0.008,52.0,12.0,-7.7,0.0,2.0,50.0,1.7,-16.3,1022.6,1033.9,0.7193387928239607,0.5993810789552114,0.0,0.0,22.097011158158793,2000.0,-7.2,-1.2,-1.2,-0.1,1.1,2021.0,1.0,3.0,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0.4,0.025,0.012,48.0,13.0,-8.0,0.0,2.2,51.0,1.7,-16.3,1022.8,1034.1,0.7117277514582225,0.5973259006992819,0.0,0.0,21.22789248134164,2000.0,-7.4,-1.3,-1.3,-0.2,1.1,2021.0,1.0,3.0,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0.4,0.027,0.01,46.0,13.0,-8.3,0.0,1.6,52.0,1.7,-16.4,1022.9,1034.2,0.6887160577356566,0.46062442816737104,0.0,0.0,22.32511953807817,2000.0,-7.7,-1.5,-1.4,-0.2,1.1,2021.0,1.0,3.0,4.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0.4,0.026,0.011,48.0,12.0,-8.8,0.0,1.0,53.0,1.7,-16.6,1022.6,1033.9,0.6597083371446901,0.34118135675246464,0.0,0.0,22.922497601644054,2000.0,-8.0,-1.6,-1.4,-0.2,1.1,2021.0,1.0,3.0,5.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0.4,0.025,0.011,49.0,12.0,-9.0,0.0,1.3,53.0,1.6,-16.8,1023.4,1034.8,0.6643634554496041,0.3304691359477303,0.0,0.0,22.959081217581897,2000.0,-8.1,-1.7,-1.5,-0.2,1.1,2021.0,1.0,3.0,6.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0.5,0.017,0.019,47.0,14.0,-8.7,0.0,1.1,54.0,1.7,-16.3,1023.6,1035.0,0.6544491139463195,0.24269947934046598,0.0,0.0,23.616629918203543,2000.0,-8.3,-1.8,-1.6,-0.2,1.1,2021.0,1.0,3.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0.5,0.017,0.021,47.0,13.0,-8.7,0.0,0.9,58.0,1.8,-15.4,1023.7,1035.1,0.0,0.0,0.0,0.0,18.349958052380416,2000.0,-8.2,-1.9,-1.7,-0.3,1.1,2021.0,1.0,3.0,8.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0.4,0.018,0.021,44.0,12.0,-7.6,0.0,1.8,57.0,2.0,-14.6,1024.1,1035.4,0.8,0.28,0.0,0.0,23.620528679147228,2000.0,-6.9,-1.9,-1.7,-0.3,1.1,2021.0,1.0,3.0,9.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0.4,0.027,0.014,39.0,12.0,-5.7,0.0,2.6,46.0,1.8,-15.5,1024.0,1035.2,1.0,0.86,0.0,0.0,24.348064893471346,2000.0,-4.1,-1.6,-1.7,-0.3,1.0,2021.0,1.0,3.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
